,Director(s),Star(s),Votes,Gross,Language(s),Country_of_origin,Production_companies,Poster_image,Release_date,Title,Imdb_rating,Duration,Genre,Summary,MPA_rating
1770, Thierry Chavrimootoo ,"[' Keith Mason', ' James Merrill', ' Jamie Coulter', ' Jenna Brough']", 73,,['English'],['United Kingdom'],['Visage cinema'],https://m.media-amazon.com/images/M/MV5BZGVkZWU2OWQtYWNhOS00MWRlLWIyNzYtOTA5ZTk1ODcwN2RhXkEyXkFqcGdeQXVyNzQ0MjUwNzk@._V1_.jpg,2021-11-25,Imperative,['8.4'],['90 min'],"['Crime, Thriller']","[""After DCI Sullivan's wife goes missing, he struggles with alcoholism and his inner demons while trying to track down the latest vigilante serial killer to darken the northern English streets.""]",
1771, Massimiliano Cerchi ,"[' Nicholas Turturro', ' Michael Paré', ' Robert Fortunato', ' Krista Grotte Saxon']", 216,,['English'],['United States'],['Collective Film Group'],https://m.media-amazon.com/images/M/MV5BNmQwMWRkMzMtZDNhMC00NWRiLWI3ZTktMjIyZDY1MGYwODg4XkEyXkFqcGdeQXVyNTA0NDMwMTU@._V1_.jpg,2021-04-03,The Penthouse,['3.0'],['88 min'],['Thriller'],"[""A man covering up a crime assumes a nosy neighbor may have seen what he did. He turns the neighbor's lives upside down to keep his secret. But is there more to his motive?""]",['R']
1772,"[' Maureen Fazendeiro', ' Miguel Gomes ']","[' Crista Alfaiate', ' Carloto Cotta', ' João Nunes Monteiro']", 198,,['Portuguese'],"['Portugal', 'France']","['O Som e a Fúria', 'Uma Pedra no Sapato']",https://m.media-amazon.com/images/M/MV5BMmFkODFmMmMtZDAxYi00M2QwLTljYWQtMDAxN2Y3N2EzZDMyXkEyXkFqcGdeQXVyMTI0MjI0NTc0._V1_.jpg,2021-07-14,The Tsugua Diaries,['6.3'],['102 min'],['Drama'],"['Follows Crista, Carloto and João who are building an airy greenhouse for butterflies in the garden and share household routines, but they are not the only ones.']",
1773, Aurélia Georges ,"[' Lyna Khoudri', ' Sabine Azéma', ' Maud Wyler', ' Laurent Poitrenaux']", 50,,['French'],['France'],"['31 Juin Films', 'Arte France Cinéma', 'Canal+']",https://m.media-amazon.com/images/M/MV5BM2RiZjI2OWMtZmZmMS00ZTViLTg2YTAtMDk5NzNjMzY0ODkwXkEyXkFqcGdeQXVyODgxMDAxMjY@._V1_.jpg,2022-01-19,Secret Name,['6.6'],['112 min'],['Drama'],"['Nelie escaped a miserable existence by becoming a frontline nurse in 1914. One day, she takes the identity of Rose, a young woman from a good family, who dies in front of her. She presents ... See full summary »']",
1774, Dhilip Kumar ,"[' Madhavan', ' Shraddha Srinath', ' Shivada Nair', ' Mouli']"," 3,775",,['Tamil'],['India'],"['Pramod Films', 'SP Cinemas']",https://m.media-amazon.com/images/M/MV5BYmM3OTEzOTEtM2Y4Yi00ZGNjLWJmMjAtOTQ4YjBiOGUzZmNkXkEyXkFqcGdeQXVyMTI3MjIwMzU2._V1_.jpg,2021-01-08,Maara,['7.6'],['149 min'],"['Adventure, Drama, Mystery']","['When Paaru sees a fairy tale she heard from a stranger as a child painted across the walls of a coastal town, she goes in search of the man who painted it-Maara.']",
1775, Nicholas Woods ,"[' Michaella Russell', ' Heston Horwin', ' Chase Cargill', ' Taylor Flowers']", 407,,['English'],['United States'],"['Phoenix Down Films', 'Landwirth Legacy Productions']",https://m.media-amazon.com/images/M/MV5BNDU5YTk3YmMtZGVhMy00NDE4LThkNzMtMDkzZDBjY2UzZTAxXkEyXkFqcGdeQXVyNjYyNDA0NjM@._V1_.jpg,2021-08-23,Echoes of Violence,['6.1'],['106 min'],"['Crime, Drama, Thriller']",['An immigrant travels from Sedona to Los Angeles to seek revenge against the immigration lawyer who ruined her life.'],
1776, Jim Carroll ,"[' Jordyn Barrera', ' Christina Birdsong', ' Donny Boaz', ' Phoenix Brock']", 393,,['English'],['United States'],['Timed Out Productions'],https://m.media-amazon.com/images/M/MV5BNjk0MDI3ZmYtYTQzMi00YmU5LWI1ZTktNzUwNThkNmVhZmJhXkEyXkFqcGdeQXVyMTMwNDQ4OTI2._V1_.jpg,2021-05-14,Black Easter,['3.0'],['113 min'],"['Action, Adventure, Drama']",['An Extremist group travels back in time to assassinate Christ before the Crucifixion. The fate of the world now depends on a genius with no faith...and a man who has lost his.'],['PG-13']
1777,"[' Joshua Morrison', ' Lee Westwick ']","[' Kate Hargrave', ' Lee Westwick', ' Nick Field', ' Nazeku']",,,"['English', 'German', 'Dutch', 'Mandarin', 'French']",['United Kingdom'],"['High Spark Films', 'Morrison Productions', 'Retro Gem Media']",https://m.media-amazon.com/images/M/MV5BNDgxOGUzNDEtMDhjMS00MmI4LWE2NzAtNjllZTY1YWFmODE3XkEyXkFqcGdeQXVyMTMzOTcwMTU5._V1_.jpg,2021-01-01,Connie Lynn,,,['Thriller'],"['Connie Lynn suffering post traumatic stress and depression navigates her way through life with Benny Lynn, she enters in to a whole new world she does not even know she is in without help to figure out where and who she is.']",['R']
1778, Nia Di Nata ,"[' Amanda Rawles', ' Maizura', ' Asmara Abigail', ' Chicco Jerikho']", 293,,['Indonesian'],['Indonesia'],['Kalyana Shira Film'],https://m.media-amazon.com/images/M/MV5BMzg0NzQ5OWMtMWNiMy00MDY4LWE1ZGUtNzkzNDIxODg3ZTg3XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_.jpg,2021-10-14,A World Without,['3.7'],['107 min'],"['Drama, Mystery, Sci-Fi']","['In a country where dating is outlawed, three teenage girls in search of happiness decide to join a reclusive community led by a charismatic leader.']",['TV-MA']
1779, Erik Bloomquist ,"[' Erik Bloomquist', ' Madeleine Dauer', ' Taylor Turner', ' Rachel Oremland']", 109,,['English'],['United States'],['Mainframe Pictures'],https://m.media-amazon.com/images/M/MV5BNDg2YjlhNGEtNGJmNS00ZTQ2LWJhMjEtMDc4NTQyMTcxYTRiXkEyXkFqcGdeQXVyMjY3ODc2MTg@._V1_.jpg,2021-10-19,Christmas on the Carousel,['5.1'],['71 min'],"['Comedy, Drama, Family']",['Four lifelong friends convene over winter break for their last Christmas at home together.'],
1780, Álvaro García Gutiérrez ,"[' Gustavo Fernández', ' Beatriz Toyos', ' Mariu RuÍz OrtÍz', ' Consuelo Carravilla']", 54,,['Spanish'],['Spain'],"['García Gutiérrez, Álvaro']",https://m.media-amazon.com/images/M/MV5BZTFjNGVkM2ItM2IwYi00ZjJiLTkyYzgtODRmYjlkZmMyOTgyXkEyXkFqcGdeQXVyMjAyOTU1MjU@._V1_.jpg,2021-07-17,The Winter Hunger,['9.5'],,['Horror'],['A group of 5 people trying to hide from a terrible threat hanging over them. But they can not hide themselves.'],
1781, Maria Ripoll ,"[' Regina Blandón', ' Ludwika Paleta', ' José Sefami', ' Pablo Cruz']", 487,,['Spanish'],['Mexico'],"['Feel Good Films', 'Itaca Films', 'Sony Pictures International Productions']",https://m.media-amazon.com/images/M/MV5BZmNkN2Y1ZTMtZDQ4Ni00MzI2LWJlNjktNTdkZjBiMWQxNjUyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,2021-03-12,Guerra de Likes,['5.0'],['103 min'],['Comedy'],"['In order to advance her career in the dynamic world of publicity in Mexico City, Raquel tries to reunite with her high school friend Cecy who has become the queen of social media. But unlike followers, friendships do not come instantly.']",
1782, Shan Serafin ,"[' Aidan Bristow', ' Sophie Kargman', ' Susan Wilder', ' Lindsey Ginter']", 366,,['English'],['United States'],"['Gypsy Lane Films', 'Relentless Escargot Productions', '611 Films']",https://m.media-amazon.com/images/M/MV5BMGVhYjA0YTQtYjcwMS00MTIxLTk1M2ItYTYwNTBiZTRmNzdhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,2021-04-02,The Believer,['3.8'],['91 min'],['Horror'],"[""Lucas, an out-of-work nuclear scientist, struggles with tension in his marriage after his wife Violet mysteriously terminates her pregnancy without his consent. As Lucas' physical health ... See full summary »""]",
1783, Sampath Nandi ,"[' Gopichand', ' Tamannaah Bhatia', ' Digangana Suryavanshi', ' Tarun Arora']"," 1,089",,['Telugu'],['India'],['Srinivasaa Silver Screen'],https://m.media-amazon.com/images/M/MV5BMWM5ZTRkOTgtMzAxYS00ZDEwLWE4MjgtOWRmYWU0NTc1NDYyXkEyXkFqcGdeQXVyMTA1MTMwNDc@._V1_.jpg,2021-09-10,Seetimaarr,['5.4'],['139 min'],"['Action, Drama, Sport']",['All a full-time bank employee and part-time kabaddi coach wants is to bring national relevance to the school his father built and help young kabaddi players in his village win the national ... See full summary »'],
1784, Fabio Mollo ,"[' Aurora Giovinazzo', ' Isabella Mottinelli', ' Federico Cesari', ' Luca Maria Vannuccini']", 266,,['Italian'],['Italy'],"['Amazon Studios', 'Notorious Pictures']",https://m.media-amazon.com/images/M/MV5BMjM5MmNmOTQtY2RkNy00OWU0LTk3YzQtNDVjODhmZjIwNjA4XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_.jpg,2021-10-22,Dog Years,['5.7'],['97 min'],"['Comedy, Romance']","['The story of clumsy, cynical, imaginative and tormented teenage girl named Stella.']",
1785, Venky Atluri ,"[' Nithiin', ' Keerthy Suresh', ' V.K. Naresh', ' Kousalya']"," 1,998",,['Telugu'],['India'],['Sithara Entertainments'],https://m.media-amazon.com/images/M/MV5BZDI3ZGRjM2EtZDVjYS00ZGI4LWEyNmYtNTk0NDVlMDczOWExXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,2021-03-26,Rang De,['6.6'],['130 min'],"['Comedy, Drama, Romance']","['A man and woman have been neighbors since they were children, but they have different perspectives on their relationship.']",
1786, Marko Mäkilaakso ,"[' Christopher Lambert', ' Joe Dante', ' Jarmo Mäkinen', ' Veronica Jarvis']",,,['English'],['Finland'],"['Black Lion Pictures', 'Frozen Flame Pictures', 'Raven Banner Entertainment']",https://m.media-amazon.com/images/M/MV5BMjc1ZmM5MmEtOTk4MS00MGUxLWE5MjMtNTM2OTRkNWQ5NzVmXkEyXkFqcGdeQXVyMjY5NzAxNA@@._V1_.jpg,2021-12-01,The Creeps,,,"['Action, Comedy, Fantasy']",['Two American youngsters who prepare to celebrate Monsterfest in a Finnish ski resort that gets overrun by small creatures.'],
1787, Agustí Villaronga ,"[' Roger Casamajor', ' Òscar Kapoya', ' Marc Bonnin', ' Armando Buika']", 105,,['Catalan'],['Spain'],"['Bastera Films', 'El Testamento de María', 'IB3 Televisió']",https://m.media-amazon.com/images/M/MV5BOWM3M2MwNTMtN2YzNS00MDMyLThiZWItY2NlOGM3MGQ3OTk5XkEyXkFqcGdeQXVyOTc4OTI5MDI@._V1_.jpg,2021-04-24,The Belly of the Sea,['6.1'],['75 min'],['Drama'],"['147 desperate survivors crammed onto a 12 x 6 meter raft. An officer and a sailor two survivors of the shipwreck of the frigate La Méduse in 1816, reminisce about their indelible traumas.']",
1788, Maruthi Dasari ,"[' Harsha Chemudu', ' Ajay Ghosh', ' Srikanth Iyengar', ' Vennela Kishore']", 341,,['Telugu'],['India'],"['Mass Movie Makers', 'UV Concepts', 'V Celluloid']",https://m.media-amazon.com/images/M/MV5BOThlMTNlN2EtOWMwNy00OGFhLThlYWUtOTRjZGYyNmEyNGYzXkEyXkFqcGdeQXVyNTgxODY5ODI@._V1_.jpg,2021-11-04,Manchi Rojulochaie,['4.9'],['142 min'],['Romance'],"[""A man and woman become romantically involved - much to her father's displeasure.""]",
1789, Mainak Bhaumik ,"[' Aparajita Adhya', ' Sauraseni Maitra', ' Alakananda Ray']", 151,,['Bengali'],['India'],['SVF Entertainment'],https://m.media-amazon.com/images/M/MV5BNTU4MjU4OGMtYzYxNC00MTI5LTg2ZDItNWNjNmQxOTk4M2RmXkEyXkFqcGdeQXVyMTI3NTA4OTMw._V1_.jpg,2021-11-19,Ekannoborti,['7.4'],['133 min'],['Drama'],['Festive chaos erupts when a scattered family comes together for a reunion in one household during Durga Puja.'],
1790, Justin Lee ,"[' Phil Burke', ' Nicole Craner', ' Ed Morrone', ' Sanford Worth']", 105,,['English'],,"['Hillin Entertainment', 'Benetone Films', 'I.Man Productions']",https://m.media-amazon.com/images/M/MV5BNTQ4ODVlNDAtYzdmNi00N2ViLThkMTAtNjI5OGU1NDZmYzM1XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_.jpg,2021-09-14,Hunters,['3.4'],['95 min'],['Action'],"['As John T. Wrecker continues his task of protecting a group of refugees from a virus, the threat of something new and even more dangerous grows ever closer in the form of monstrous mutants.']",['Unrated']
1791, Delmar Washington ,"[' Taryn Manning', ' Clark Backo', ' Shane West', ' Rutina Wesley']", 15,,['English'],"['United States', 'Australia']","['Defiant Studios', 'Kodiak Pictures', 'Sunset Junction Entertainment']",,2021-11-03,No Running,['5.0'],['85 min'],"['Sci-Fi, Thriller']","[""A Black high school student finds himself under suspicion after his classmate's mysterious disappearance.""]",
1792, Adam Berardi ,"[' Gabby d Barbosa', ' Jeremy Behie', ' Dylan Garcia', ' Tristan Koclanis']", 155,,['English'],['United States'],['Overnight Pictures'],https://m.media-amazon.com/images/M/MV5BYjYxM2Y1ZDktZTU3MS00NzJhLWFmZmMtZGI0NmE4YzdkNDJiXkEyXkFqcGdeQXVyNTk4MjE5MjY@._V1_.jpg,2021-07-23,The Last House on the Street,['1.8'],['73 min'],"['Comedy, Horror']","['When two beautiful college girls move across the street from Derek and Chad, sinister things begin to happen.']",
1793, Francesco Cinquemani ,"[' Tom Arnold', ' Michael Madsen', ' Lorenzo McGovern Zaini', ' Mia McGovern Zaini']", 102,,['English'],['Italy'],['Fenix Entertainment'],https://m.media-amazon.com/images/M/MV5BNGI2OWM5NjctZjlkMC00YzYwLWI4ODEtZmVlYzQ1ZDdkODYxXkEyXkFqcGdeQXVyOTE4MTU0ODg@._V1_.jpg,2021-11-05,Christmas Thieves,['5.0'],['77 min'],"['Animation, Comedy, Family']",['Two young kids end up spending Christmas eve alone and they mistake two burglars for Santa'],
1794, Raj Singh Chaudhary ,"[' Nivedita Bhattacharya', ' Nina Borah', ' Sanjay Dadhich', ' Kirti Kulhari']", 605,,['Hindi'],['India'],"['Famous Digital Studios', 'Opticus']",https://m.media-amazon.com/images/M/MV5BMWZjMjk5YWQtNTFkOC00N2VmLWJlOTUtYWU5MGFkZTc1MGI5XkEyXkFqcGdeQXVyMTI1NDAzMzM0._V1_.jpg,2021-06-11,Shaadisthan,['5.5'],['94 min'],"['Drama, Musical']","['Mumbai to Ajmer, a squabbling family, a band, and clashing values. Along the roads of friendship and life, this journey only gets crazier.']",
1795, Ram Gopal Varma ,"[' Tanikella Bharani', ' Swathi Deekshith', ' Swati Dixit', ' Aahuthi Prasad']", 870,,['Telugu'],['India'],"['Nattis Entertainments', 'Pegasus Cinecorp']",https://m.media-amazon.com/images/M/MV5BY2Q3MmY2MDgtYWIwNi00OWJiLTk1OWYtYjk0YmYyODE0NTU0XkEyXkFqcGdeQXVyNDc2NzU1MTA@._V1_.jpg,2021-04-12,Deyyam,['8.6'],['98 min'],['Horror'],"[""This film explores the competing strengths of a father's love and an evil spirit's will to possess.""]",
1796, Ariel Annexy ,"[' Sandra Echeverría', ' Luis Roberto Guzmán', ' Laura Aleman', ' Alejandra Espinoza']", 14,,['Spanish'],['Puerto Rico'],"['Cine Latino', 'Spanglish Films']",https://m.media-amazon.com/images/M/MV5BMDdiMzc4OTQtZDgwYy00YTVlLTk4NzctOWM3ODMwZjJmNzE0XkEyXkFqcGdeQXVyMTE0NTY4NjA1._V1_.jpg,2021-09-01,Perfecto anfitrión,['4.6'],,['Thriller'],"[""Clara and her best friends arrive at a stunning home-share rental for their much-needed girls' trip. Their stay takes a dark turn when Clara starts to suspect the property's charming and ... See full summary »""]",
1797, John Mathis ,"[' Ty Simpkins', ' Anneliese Judge', ' Cara AnnMarie', ' Skyler Elyse Philpot']", 11,,['English'],['United States'],"['Nonlinear Studios', 'Bobadilla Productions', 'Barnegat Studios']",https://m.media-amazon.com/images/M/MV5BZjVhNTg4YzMtMTk4Ny00ZWYzLTg1NTEtMmM5NTA5MmZiZmRiXkEyXkFqcGdeQXVyNDg4NjQxMDI@._V1_.jpg,2021-11-01,Where's Rose,['7.0'],['83 min'],"['Horror, Thriller']","['When a little girl is found after going missing, only her older brother recognizes the evil force that has returned in her place.']",
1798, Tara Cowell-Plain ,"[' Eric Lutz', ' Ashley Newbrough', ' Oscar Balderrama', ' Jon Briddell']", 43,,['English'],['United States'],['Followed Productions'],https://m.media-amazon.com/images/M/MV5BMTllMmE0ZmEtYzE2Ny00OTliLWE2OTMtYWRiZWFjYjk4MmI0XkEyXkFqcGdeQXVyOTY2MjYzMjQ@._V1_.jpg,2022-05-02,Blue Moon Ball,['5.8'],['95 min'],['Romance'],"[""Grace Montague, a writer, returns to her hometown to finish her final novel. Upon arriving home she finds her first love, Sean, desperate to save the town's historic ballroom, and needs her help the night of the rare Blue Moon Ball.""]",['Not Rated']
1799, Simon Kay ,"[' Amelia Eve', ' Rebecca Finch', ' Vivien Taylor', ' Susan Coyle']", 148,,['English'],['United Kingdom'],"['Dark Brood Pictures', 'Valiant Son Motion Pictures', 'Dark Brood Pictures']",https://m.media-amazon.com/images/M/MV5BMzU1YjFlYWQtZjhkZi00ZjVlLTlhMDctN2MwMzM2MzExNzIyXkEyXkFqcGdeQXVyMjEwNjUxOA@@._V1_.jpg,2021-02-28,Shadowland,['2.6'],['73 min'],"['Action, Horror, Mystery']","[""They sought sanctuary. They found him. 'An ex-serviceman is forced to seek refuge for his team and the family in their charge in rural Scotland, with devastating consequences'""]",
1800, Noémie Merlant ,"[' Gimi Covaci', ' Noémie Merlant', ' Sanda Codreanu', ' Clara Lama-Schmit']", 48,,['French'],['France'],['Nord-Ouest Films'],https://m.media-amazon.com/images/M/MV5BMzA3N2U1MGMtOGY5MC00NzQ0LWExYjAtZjgwMDM1MGUzYjZiXkEyXkFqcGdeQXVyNDg4MDI2NzU@._V1_.jpg,2021-07-13,"Mi iubita, mon amour",['6.4'],['95 min'],['Drama'],"['Jeanne is going to celebrate her bachelorette party in Romania, where she meets Nino, which begins a passionate and timeless summer.']",
1801, Abhinay Deo ,"[' Amitabh Bachchan', ' Sidharth Malhotra']",,,['Hindi'],['India'],"['Eros Worldwide', 'Rajtaru Studios']",https://m.media-amazon.com/images/M/MV5BOGVjNDhhMWMtYTY3MS00OWZjLWI5ZmItMjBhZGFjMDAyNzE5XkEyXkFqcGdeQXVyMjM2MjI1NDc@._V1_.jpg,2021-12-24,Aankhen 2,,,['Thriller'],"['Aankhen 2 is based on a disgraced banker who hires three blind men for a heist. Whilst, the basic plot of the movie is same as its prequel, this time the heist is centered on a casino.']",
1802, Mangesh Joshi ,"[' Ajit Abhyankar', ' Mohan Agashe', ' Mrunmayee Deshpande', ' Shubhangi Gokhale']", 100,,['Marathi'],['India'],"['ABP Studios', 'Nine Archers Picture Company']",https://m.media-amazon.com/images/M/MV5BOWRkOTkwMjYtMDMwMC00YWM0LTgzNDctNjFjZjRkZmNkODdiXkEyXkFqcGdeQXVyMTk2NjQ0NDI@._V1_.jpg,2021-12-10,Karkhanisanchi Waari: Ashes on a road trip,['7.2'],['108 min'],"['Comedy, Drama, Family']","['Karkhanis family is the last joint family in Pune. When the eldest brother, Purushottam passes away, it is his last wish that his ashes be scattered in 3 different locations - the ancestral... See full summary »']",
1803, Aaron Warren ,"[' Michael Winslow', ' Eliana Ghen', ' Aaron Jackson', ' Chloë Marie Rhoades']", 120,,['English'],['United States'],"['Am I The Butterfly', 'Dangerous Curves Productions (II)', 'Greenway Entertainment']",https://m.media-amazon.com/images/M/MV5BMTk5YWRkNjEtYmVmMi00ODg0LWI5OTEtZWQ0Yzc0NDU5NWE0XkEyXkFqcGdeQXVyNTUxMzE3MDQ@._V1_.jpg,2021-01-31,Todd,['3.4'],['91 min'],"['Drama, Mystery, Thriller']","['Todd is the story of a man who has always felt like the ""odd man out."" From a young age, Todd is shunned and ridiculed by his peers. Over time his pain and anger turns into rage and despair... See full summary »']",['Not Rated']
1804, Mista E ,"[' Gabriella Arlene', ' Jamal Benoit', ' Tom Dacey Carr', ' Carlton Caudle']", 36,,['English'],['United States'],['Infinite Visuals'],https://m.media-amazon.com/images/M/MV5BNzllMDU1ZWEtYWM2Zi00YTNhLThmZmMtNjA1NmIyMjZiNWM0XkEyXkFqcGdeQXVyNDU5MDIzMjc@._V1_.jpg,2021-05-01,Triple D Revenge,['8.6'],,['Crime'],['Add a Plot'],
1805, Raul Urreola ,"[' Jayce Venditti', ' Amber Grayson', ' Connie Chiarelli', ' Thom Michael Mulligan']",,,['English'],['United States'],"['Bullet Catch Films', 'Urreola Film']",https://m.media-amazon.com/images/M/MV5BZjdmYTk5MWMtYzcxNC00ZGVjLThkOTAtNDVhMjE2Njk5OWEzXkEyXkFqcGdeQXVyMjQyMjQ3NTQ@._V1_.jpg,2021-05-14,Night Hunter,,['90 min'],['Thriller'],['Add a Plot'],
1806, Santhosh Ananddram ,"[' Puneeth Rajkumar', ' Sayyeshaa Saigal', ' Sonu Gowda', ' Dhananjaya']"," 4,034",,"['Kannada', 'Telugu']",['India'],['Hombale Films'],https://m.media-amazon.com/images/M/MV5BZmM3OTY5N2QtM2U1ZS00NmNjLTlkOTctNjI1ZDZhOTY1MDkyXkEyXkFqcGdeQXVyODEyNjEwMDk@._V1_.jpg,2021-04-01,Yuvarathnaa,['6.7'],['161 min'],"['Action, Drama']",['A reputed college that is now on the verge of closing due to the privatization of the education system and political reasons. The college Principal fights against privatization and the protagonist supports his vision.'],
1807, Sima Urale ,"[' Zara Cormack', ' Lisette de Jong', ' Xavier Dick', ' Daniel Fernandez']", 15,,['English'],['New Zealand'],['Greenstone TV'],,2021-03-15,The Tender Trap,['6.8'],['90 min'],['Drama'],"['In 2011 the startling news broke around New Zealand that Sharon Armstrong, a middle-aged grandmother and public servant who worked for the Maori Language Commission had been arrested in Argentina with 5kg of cocaine in her suitcase.']",
1808, Nina Vukovic ,"[' Lisa Vicari', ' Ludwig Trepte', ' Meryem Öz', ' Pascal Houdus']", 9,,['German'],['Germany'],['Klinkerfilm Productions'],https://m.media-amazon.com/images/M/MV5BNjQ4ZDJkZWUtYjI1MC00NjUxLTg2NGMtYzljMTBhN2RkM2NjXkEyXkFqcGdeQXVyMzYwMTkzNTQ@._V1_.jpg,2021-10-29,Am Ende der Worte,['7.8'],['91 min'],['Drama'],['A young policewoman from Hamburg is torn between rigid adherence to her professional ideals and the testosterone-fueled power lust of her head of operations. After her training at the ... See full summary »'],
1809, Richard Boddington ,"[' Natasha Henstridge', ' Steve Byers', ' Zackary Arthur', ' Morgan DiPietrantonio']", 318,,['English'],['Canada'],['Journey Home Films.'],https://m.media-amazon.com/images/M/MV5BN2ZmMzVkOWMtMWUyMy00NDQ2LWJlYjMtNzNiOWYwOGM1ZTMzXkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_.jpg,2021-03-23,Hero Dog: The Journey Home,['4.6'],['90 min'],"['Adventure, Thriller']","[""Chinook the Alaskan Malamute must lead a shipwrecked blind man out of the wilderness, while the man's children launch a rescue mission of their own.""]",['PG']
1810, Gregory Hatanaka ,"[' Jason Toler', "" Nicole D'Angelo"", ' Chris Spinelli', ' Jeffrey Moon']", 677,,,['United States'],"['CineRidge Entertainment', 'Cinema Epoch', 'New GenerAsian Pictures']",https://m.media-amazon.com/images/M/MV5BYWE1ODYyZjctMTJjYi00YzMxLThhNzEtMzlhZWE4YTBhNWNhXkEyXkFqcGdeQXVyMjM2OTAxNg@@._V1_.jpg,2021-10-19,Amityville Cop,['6.1'],['69 min'],"['Horror, Thriller']","['A city haunted by a bloody past has led to the emergence of some serious police brutality. As bodies pile up, two detectives seek to stop a demonic force that is terrorizing the neighborhood.']",['Approved']
1811, Raghavendra Bakki Sannegowda ,"[' Prem Kumar', ' Brinda Acharya', ' Aindrita Ray', ' Master Anand']", 463,,['Kannada'],['India'],['Kedambadi Creations'],https://m.media-amazon.com/images/M/MV5BNTc1ODUyY2ItNTNmMS00OTlhLWIzOWYtMTI4Y2JkZjVkODYyXkEyXkFqcGdeQXVyMTM0Mzg1MjY3._V1_.jpg,2021-11-12,Premam Poojyam,['8.8'],['173 min'],['Romance'],"[""Dr Sri Hari is a selfless cardiologist, who loves and worships his profession. When a patient, Yojitha, stumbles on his diary, we get to know of his love story that has turned him into a successful surgeon. Sri hari is a happy, guy who lives his life to the fullest, everyday. A sudden entry of angel along with the gift of love changes his world completely. It's a roller coaster ride of love, ... See full summary »""]",
1812, Thomas Walton ,"[' Kane Hodder', ' Michael Berryman', ' Scout Taylor-Compton', ' Brian Anthony Wilson']", 324,,['English'],['United States'],"['PhilaDreams Films', 'Safier Entertainment']",https://m.media-amazon.com/images/M/MV5BMTkwNjJkZGItN2NmYS00NjBkLWJmNTMtNDY4NjlmZTYwYTFkXkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_.jpg,2021-07-20,Room 9,['2.6'],['104 min'],"['Drama, Horror, Thriller']",['Life altering sins of the past revisit modern day lost souls in a small town...40 years later.'],['R']
1813, Indrajit Nattoji ,"[' Neha Sharma', ' Ila Arun', ' Namit Das', ' Deepak Dobriyal']", 361,,['Hindi'],['India'],"['Blink Pictures', 'Zee Studios']",https://m.media-amazon.com/images/M/MV5BMDM1ZWVjNzItYTFhNi00MGM1LThiN2QtNGY5Njk3YTQwZjk4XkEyXkFqcGdeQXVyMTIzMzg0MTM2._V1_.jpg,2021-10-29,Aafat-e-Ishq,['4.5'],['114 min'],"['Comedy, Drama, Thriller']","[""This ZEE5 Original film revolves around Lallo, a 30-year-old recluse girl who yearns for love. She works as a caretaker, and her life changes when she inherits her employer's property.""]",
1814, Shiva Karthik ,"[' Sudeep', ' Aftab Shivdasani', ' Madonna Sebastian', ' P. Ravi Shankar']"," 2,112",,['Kannada'],['India'],"['Rockline Entertainment', 'Studio Agart', 'Supercluster Productions']",https://m.media-amazon.com/images/M/MV5BODYzNDRlODQtNjY5NC00NmEwLWJkZTItNjczOWU2OWU1NWE5XkEyXkFqcGdeQXVyNjM0NDc1MzM@._V1_.jpg,2021-10-14,Kotigobba 3,['6.6'],['140 min'],"['Action, Drama, Romance']","['Kotigobba -2 is an Action-Con entertainer which had Sudeep portraying the lead character ""SATYA"" who is a con-man who cheats all the bigwigs and donates the money to the poor. ""SATYA"" is ... See full synopsis »']",
1815, Jamie Wede ,"[' Kate Robertson Pryor', ' Anthony Hunke', ' Sarah Brings Three White Horses', ' Kristen Ford']", 10,,['English'],['United States'],['Strange Trajectory Productions'],https://m.media-amazon.com/images/M/MV5BZGEyNWZkZDUtOGVlYS00NzExLThjZjUtOGNmMjU2NjA5OWI3XkEyXkFqcGdeQXVyMTYxNzc4MDA@._V1_.jpg,2021-10-23,Valentine Crush,['9.0'],,,"['A roller derby player gets in a little over her head after she meets her ""number one fan"".']",
1816,"[' Jessica Hester', ' Derek Schweickart ']","[' Melissa Leo', ' Ciara Bravo', ' Cristela Alonzo', ' Mia Rose Frampton']", 15,,['English'],['United States'],"['A Journey Home Film', 'Straight Up Studios, LLC', 'Big Vision Empty Wallet']",https://m.media-amazon.com/images/M/MV5BYWNmYzVmNTctYmY3Yi00MjdkLTk5ZGEtM2YwODE4MTMwMDZjXkEyXkFqcGdeQXVyMTkxMzMwNzg@._V1_.jpg,2021-04-08,Coast,['8.1'],['96 min'],['Drama'],"[""16 year old Abby's life changes when a traveling rock band gets stuck in her small town.""]",
